Date,A,B,C,Total
2022-09-02,-0.010774863241807764,-0.009661366135235494,-0.013475832852791525,-0.01173125300000366
2022-09-06,-0.0012679587632979938,-0.0023694389256201376,-0.005676842668753013,-0.0034419900601115883
2022-09-07,0.016934514517702892,0.019368684701943417,0.02416315517577039,0.020625203574639706
2022-09-08,0.0078389189488135,0.008267545427226963,0.03031294410822105,0.017836544720674752
2022-09-09,0.014412993451510037,0.016863186623535142,0.020010167126124356,0.01742363309126782
2022-09-12,0.00795671451019464,0.008220138944685873,0.004558612594554257,0.006491670847325048
2022-09-13,-0.04574265643307995,-0.04552078622031652,-0.037037724370501124,-0.0418093947771222
2022-09-14,0.004198746682080756,0.0012685877294229542,0.005768728738905438,0.004291355660044127
2022-09-15,-0.02219258266751689,-0.0130556239973183,-0.0019097358018921318,-0.01117556231078598
2022-09-16,-0.0045522635532913025,-0.008011772695520558,-0.013459124808027245,-0.009311239890608225
2022-09-19,0.0030504226733123474,0.006866625306538143,0.0061847931394560796,0.005260236903978255
2022-09-20,-0.010624785623848276,-0.014990491675002326,-0.010145690525704465,-0.01131800192053145
2022-09-21,-0.016228112273664386,-0.016719598463159624,-0.024996488378403958,-0.020299135253332268
2022-09-22,-0.0018927820016129138,-0.014306162229064445,-0.016523466239135032,-0.011070337026094168
2022-09-23,-0.014691010969976048,-0.02001135122146991,-0.01469829890234875,-0.015799333379624136
2022-09-26,-0.0067106104087469864,-0.011491107867905637,-0.012587178918152309,-0.010334894316768706
2022-09-27,-0.001183577189693641,0.0012663358685465198,0.0024665049957035556,0.0009558235670859005
2022-09-28,0.02249989253967244,0.022695107590577912,0.020841169720475117,0.02179687758314497
2022-09-29,-0.017411561457949087,-0.019669848376864696,-0.015794549545997127,-0.017154635913901206
2022-09-30,-0.014616778251356877,-0.02113903144039786,-0.013134002291577795,-0.01529745465996979
2022-10-03,0.02068004019388403,0.030602670566052037,0.03505556113825947,0.029174245365759965
2022-10-04,0.028959474092734583,0.034320943111744384,0.028979235075016874,0.03006938746771981
2022-10-05,0.00119455025560522,0.0015457261062519212,-0.004110639747538336,-0.0011279238482492238
2022-10-06,-0.00608537425775435,-0.008421100386233782,-0.011787429073043976,-0.00913464073696324
2022-10-07,-0.027726072624608133,-0.029005203817610736,-0.02129723517294968,-0.02510500999326115
2022-10-10,-0.012270499969197601,-0.011122155531734124,-0.006232539998185405,-0.009313011957271966
2022-10-11,-0.004528772633768607,-0.007973424298722387,-0.007864137392977644,-0.006744988861917434
2022-10-12,-0.0023414575346103472,-0.002790712499543546,-0.002256026582256987,-0.002395179536737957
2022-10-13,0.024450594564967565,0.02146395601371709,0.02680310235333394,0.024899601410438565
2022-10-14,-0.01932460723805629,-0.021464559650269277,-0.024511487362717577,-0.022109226750062216
2022-10-17,0.02284096059886176,0.024460011100828405,0.02217075291569781,0.022870083461120183
2022-10-18,0.010601243013799166,0.008724548738926918,0.011883354095731491,0.010794515564040097
2022-10-19,-0.006598970547951888,-0.003912054144392552,-0.0015639991032797562,-0.0037757434668442835
2022-10-20,-0.00807512704417801,-0.01067858549518852,0.0014592929913845865,-0.004293808820360678
2022-10-21,0.025788895769421005,0.026876344538872887,0.02484135094775075,0.02557881623901892
2022-10-24,0.01830792271099213,0.00929252004843839,0.011839915332904516,0.01353072425104429
2022-10-25,0.013196472612402976,0.01871402201379313,0.0174629725392923,0.016252314264869394
2022-10-26,-0.006033142013251003,-0.0014304178990536265,0.00043649331139961056,-0.0021567854711672663
2022-10-27,-0.007280172119327855,0.010786214939543903,-0.0031109599251736286,-0.0017052490088463879
2022-10-28,0.02424651945185019,0.02532768661728735,0.029439946831086417,0.02683268912225456
2022-10-31,-0.0072133418154944895,-0.008180590181464775,-0.003142822070299478,-0.0055550848324211755
2022-11-01,-0.005878173087747074,-0.003805561693228432,0.005153310403766875,-0.00040774035878421433
2022-11-02,-0.026822624378104343,-0.022724286029092378,-0.02803151337149201,-0.02654084384679778
2022-11-03,-0.013389353466989884,-0.004875523139412863,0.0016984380572839797,-0.004713936863213752
2022-11-04,0.01061445200632627,0.014041684038551105,0.015971570816432967,0.013793472196868217
2022-11-07,0.015120502662443247,0.012885660427051082,0.005668786539059667,0.010284300725397877
2022-11-08,0.005450256601804426,0.012493346504734548,0.007798436763872152,0.007982021183786658
2022-11-09,-0.017823897568792546,-0.02163705123757942,-0.010649116963247773,-0.015304796684597943
2022-11-10,0.05651964689755906,0.060586958972042027,0.04164720329797711,0.05046703270185304
2022-11-11,0.00645037704700524,0.016182311812235728,0.0011631087470054258,0.006039968056197331
2022-11-14,-0.005999165397274853,-0.00793958375501469,-0.011890868825278234,-0.009098110815842775
2022-11-15,0.010971979297698331,0.013501292586455271,0.004711313168515918,0.008649143651950686
2022-11-16,-0.0060228190197522125,-0.010887872345876626,-0.005067504802226952,-0.006614091384988474
2022-11-17,-0.001166602595994659,-0.008079512130397815,-0.0061441318962857094,-0.004879743196646524
2022-11-18,0.0034072908336892915,0.002679949372949686,0.006305596561154481,0.004571257336342116
2022-11-21,-0.004569868982243652,-0.0018854911425589815,-0.001116234937421079,-0.0024387290418537155
2022-11-22,0.015974491607799735,0.015936717244754872,0.012065604924406115,0.014186255463057629
