Date,A,B,C,Total Portfolio
1/11/2023 0:00,0.008722296561832099,0.010046195040874117,0.002933015644284609,0.0073226834448840705
1/12/2023 0:00,0.005677650114114252,0.0035359638549787853,0.0024598995196603024,0.003928056854179296
1/13/2023 0:00,0.003623242785085523,0.003686286544217987,0.001504166789306538,0.002972202390000289
1/17/2023 0:00,-0.004599764454360278,-0.0032395945662552217,-0.005694240982865861,-0.0044846802523106355
1/18/2023 0:00,-0.01585501789636745,-0.017575007396509856,-0.018232761781274975,-0.01719230825991258
1/19/2023 0:00,-0.00923410358561827,-0.008164512097986631,-0.005643407594470018,-0.007735424570486926
1/20/2023 0:00,0.01452621653038344,0.014430572436698208,0.012715895790396115,0.013920204148096804
1/23/2023 0:00,0.013828594368929137,0.009842001229560582,0.007988718422755392,0.010625677771016973
1/24/2023 0:00,-0.0012876983545546672,0.001195308656088745,-0.0010949456940789748,-0.0003835674163709113
1/25/2023 0:00,-0.0036123924312090328,0.001886256796272967,0.0003039476644621786,-0.0005068177165108434
1/26/2023 0:00,0.008925619987014022,0.006297105281639626,0.006397687929939,0.007231449148938474
1/27/2023 0:00,-0.002120507427893714,0.004284959084081441,-0.004611812284098571,-0.0007241003178031225
1/3/2023 0:00,-0.051666018860914154,-0.0531140322320901,-0.021861451552064093,-0.042798762944305846
1/30/2023 0:00,0.04247096835556152,0.043288519309998774,0.016656601964535334,0.03446097103088519
1/31/2023 0:00,0.013430334951328726,0.012061389477385331,0.012102354956227801,0.012543775153414094
1/4/2023 0:00,-0.037888444851093994,-0.042653467908654874,-0.019989842382008516,-0.03387083352560283
1/5/2023 0:00,-0.00859040138868794,-0.008812069815634094,-0.009434758606560179,-0.008935491267122009
1/6/2023 0:00,0.019962785819284123,0.024946006497379214,0.022878250436832115,0.022580987412714748
1/9/2023 0:00,-0.001521457966840778,-0.005417517180094977,-0.004618552994245073,-0.0038332311943767294
10/10/2022 0:00,-0.13298105894382428,-0.13917479836045676,-0.12181983602606428,-0.13151144230886813
10/11/2022 0:00,-0.009210775486610867,0.0007001941598909767,-0.0029852126156673098,-0.003872956829973462
10/12/2022 0:00,-0.0022491483590854067,-0.0007827936902478072,-0.005046865376474807,-0.0026596166654851983
10/13/2022 0:00,0.026806718220389936,0.02522579733466146,0.03023661167592917,0.027379361885589093
10/14/2022 0:00,-0.023710531127725698,-0.01716327995518452,-0.01982577317069323,-0.0202467689239636
10/17/2022 0:00,0.028170229002954184,0.02134104983323626,0.015572413300766197,0.021783388369214007
10/18/2022 0:00,0.01001966297755974,0.010769314683948261,0.015108977839736637,0.011910341682915826
10/19/2022 0:00,-0.005901362124775877,-0.0031938680461159885,-0.005049976353559971,-0.004712536997737993
10/20/2022 0:00,-0.006450609003699537,-0.007560966811267389,-0.004644397406247669,-0.0062433155728292
10/21/2022 0:00,0.026267188612485892,0.023357823121212373,0.024112252901059783,0.024588436855332407
10/24/2022 0:00,0.010693755885642586,0.011313519946154038,0.01349718952909984,0.01180826466415219
10/25/2022 0:00,0.017108897297996473,0.014872578978678774,0.01149777022260623,0.014539666651731453
10/26/2022 0:00,-0.003256597276918294,0.007485706927259139,0.006929387529658326,0.003651401857698744
10/27/2022 0:00,-0.002687554247304269,0.0019746169635894706,0.004224260054778162,0.001127338397616473
10/28/2022 0:00,0.02432690461718434,0.02522522598930288,0.022825010634862863,0.024143703855735277
10/3/2022 0:00,-0.06830359423692267,-0.0942525641563754,-0.08834699271242885,-0.08360198114891615
10/31/2022 0:00,0.06671631716063997,0.09694883617864458,0.09126049366035227,0.08476620785710387
10/4/2022 0:00,-0.031201667794643284,-0.06021736699589719,-0.05693301913153204,-0.04938547984857833
10/5/2022 0:00,0.0020253122682980518,-0.003968233035188562,0.0007955522057581099,-0.0003789645151586196
10/6/2022 0:00,-0.010233577728933074,-0.010608198748066289,-0.011793403701807703,-0.010861319564582805
10/7/2022 0:00,-0.03185708950782018,-0.02189031903717331,-0.019383722716172502,-0.024512570471397654
11/1/2022 0:00,0.07336764307535226,0.10429493062069262,0.09407217963371761,0.09042546757295167
11/10/2022 0:00,0.04888188007735872,0.030656800052104582,0.02925253464002764,0.036326898541582775
11/11/2022 0:00,0.012511140149657374,0.009074982658227704,0.0022414642906418702,0.008040137607440379
11/14/2022 0:00,-0.0090460138916022,-0.005331901344939438,-0.006608847372557181,-0.0070105294823903375
11/15/2022 0:00,0.012669970641070005,0.009121129732481359,0.0055256175153346465,0.009177970747735742
11/16/2022 0:00,-0.00926280168130278,-0.006405259896655746,-0.01271897756674012,-0.009401088955290349
11/17/2022 0:00,-0.005083874876660066,-0.004672152062863644,0.004460293083783595,-0.0019039278965746753
11/18/2022 0:00,0.0049590827875862775,0.003655818452468429,0.006952464493491961,0.00515727201470817
11/2/2022 0:00,-0.07186824785355406,-0.05425578150785759,-0.04680783210855488,-0.05787122073177675
11/21/2022 0:00,0.07440638921486609,0.059961109372585364,0.04686234049320204,0.060558886991534555
11/22/2022 0:00,0.016992025986885873,0.009814341162870166,0.012012007354785137,0.012962522519949005
11/23/2022 0:00,0.0057005552195581455,0.004144832198205606,0.004581724855333702,0.00481650877709483
11/25/2022 0:00,0.000869110998775291,0.0015129482854294718,0.0027865064205496726,0.0017007039089860232
11/28/2022 0:00,-0.017154024297415527,-0.0129945178799582,-0.013515155850774896,-0.014583109767642988
11/29/2022 0:00,-0.0012649337301731123,0.0018041730230342612,0.0013380517195265007,0.0006083127742062544
11/3/2022 0:00,-0.08214207488804393,-0.06329260872010123,-0.05596932113540276,-0.06735325074752363
